Dataset URL,Organisation,General classification of dataset type,Topic or theme,Point of Contact
https://www.data.qld.gov.au/dataset/soe2015-carbon-monoxide-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-commercial-and-industrial-waste-landfilled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-commercial-and-industrial-waste-recovered-or-recycled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-condition-of-aquatic-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-condition-of-ecological-processes,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-condition-of-estuarine-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-condition-of-marine-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-condition-of-riverine-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-construction-and-demolition-waste-landfilled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-construction-and-demolition-waste-recovered-or-recycled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-cultural-heritage-management-plans,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-cultural-heritage-places,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-cultural-heritage-search-requests,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-cultural-heritage-site-locations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
